Label,Comment
0,I had an accident with an Uber driver in Mexico City. The car that I got into had no side mirror. The Brakes were not working properly either. I almost got into an accident twice. The driver's conversation was unpleasant. Being a foreigner he was very curious to ask where I am from and what brought me to Mexico. I replied to be a tourist and through that conversation is over. He became very rude and asked me if I came to look for a Mexican husband. I never answered and kept quiet. He took the wrong route and made several in requested stops. Having in mind it was uberX. He continued asked me whom I sleep with. He literally stopped the car and asked me to wait for him text someone. I asked him to let me go and take a different driver but he locked the doors and didn't allow me.
1,I have had my account completely hacked to where I cannot sign in or view it. Someone spent over $1k in Uber rides on my credit and debit cards linked to the account and when I dialed the only number available (safety line) I was told I would need to wait until another department emailed me. I didn't hear anything for almost 24 hours and when I did it was a prompted message that did not help at all. It has been almost 2 days and I still have no received a phone call or any helpful support via email. This is a nightmare and the WORST customer service I have ever experienced. I am going to be filing a police report to the person who myself and the driver caught fraudulently using my account and looking into an attorney for Uber not making identity theft a priority and rectifying the situation on their end.
1,I requested an 8 mile ride in Boston on a Saturday night around 1:00 am that was coming up around $55 on the app and Lyft was around the same rate. Ended up taking a regular cab that cost me $20. Beware of high rates.
1,Uber is overcharging for Toll fees. When In Florida the Tolls fees estimates between $ .75 to $ 2.00. Uber price shown will be Example $ 16.73 for the ride. After you take the ride you get charge 28.23 and when you check the account it's telling you that you got charge for Tolls. The driver never took the toll route and you try to contact Uber company and they take long to get back to you about the issue of being overcharge. I try to email them and let them know about the extra charges and why am I being charge for a service that I didn't receive.
1,"I had an airport flight today. Uber would not accept my credit card, my Venmo, or my PayPal. As a last resort I brought an Uber gift card to cover my ride to the airport. I'll be damned the Uber App wouldn't even accept their own gift card. My daughter downloaded three of her cards to her app to buy me a ride and sure enough they wouldn't accept her cards either. As a last resort she brought me a ride from Lift with no problem. I'm sending Uber back their gift card certified mail and demanding a refund. After much stress I barely made my flight. I'm also deleting Uber's App and will never, ever use them again. Laura"
1,"In July of this year I had sushi delivered to me in Mexico by UberEats, a subsidiary of Uber, on five occasions. The total cost was 1,918 pesos -- about $100 US. However, I was billed $1,919 dollars(!) on my credit card; something I discovered at the end of the month when paying my credit cards. I contacted Uber Customer Support (Uber does not provide any number to call, so all customer service work has to be through the via email messaging) and I was told that, due this was a glitch in the app and my charges would be refunded."
1,"My driver, Rohan was nice, but when I tried to add tip I noticed that he had switched my $9 9am fare in French Quarter to someone else's 2pm trip in Metairie for $28.00! UBER refused to acknowledge. 5 attempts to rectify problem and received nothing but irrelevant automated replies. If you get in the car with Rohan in NOLA and he says he can't get his system to work, it's a a SCAM. Terrible customer service from UBER with zero relevant assistance after 7 days of requesting corrected bill. BEWARE."
1,"I had seven fraudulent Uber transactions over three days in mid-October on my credit card. For nearly a week, I tried unsuccessfully to get Uber customer service to help. Uber was totally uncooperative. They refused to engage in the fraudulent charges someone in their system imposed on me. I had to cancel my credit card, get a new credit card and leave my credit card company to battle awful Uber. Uber buyer beware. I know I will never use their services again."
0,"Our driver never showed up and Uber cancelled our ride, not us. They charged us a cancellation fee for them cancelling. When I disputed it they would only credit it on future ride instead of refund back to our credit card. Why am I only getting a credit on account instead of a full refund to my credit card used?? This is not right what you have done when it was a Uber error."
1,"When the service worked, it was good, and tech support responds quickly most of the time. Unfortunately, that doesn't make up for the problems I encountered. The app rejected my credit card and offered no explanation as to why. For some reason it accepted my PayPal even though it uses the very card the app had just rejected. It took days of back and forth with tech support to find out that my card ""isn't compatible with their system"", but they refused to be more specific than that and no matter how many times I asked what the exact problem was (ie my bank, the type of card, etc) all they did was rephrase the same answer over and over again with canned responses; repeatedly telling me to check w/ my bank, even after I told them I already had done so."
1,"They didn't have cars available at Bush International Airport on October 15, 2018 at 9:30 pm. Had to take a taxi. This is the second time I have experienced this, and will be my last as I will use Lyft or a taxi in the future."
0,"Don't use it, that's my recommendation!. I ordered uber, selected the car to come and pick me up , got the confirmation that Musa (driver) is coming in 14 min (price selected was 11-14EUR). Guess what 15 min later got another message that another driver is coming in 25 min.. He came after 27 min and charged me 17.5EUR +3.50EUR extra for the time....? So, he came late and i'm charged extra for this time.... I need to mention as well that i was going to hospital to change my cast, as i have a broken leg and i'm in crutches; moreover was poring rain outside.... When i got teh invoice after i'ev been charges, i sent an email, over and over again , nobody have any reply. I called them few times, and left voice messages (as nobody ever picks up the phone), no call bank nor reply until now, over 3 weeks has passed already. Don't use it, you have nobody to complain to in case the driver is rude or even offensive, and they just charge you whatever they wish, always EXTRA, never less"
0,Upfront pricing not true pricing. Uber pads the bill so much. I've had Uber drivers charge for wait time when they are parked down from my house and I am out on my front porch waiting and watching them. Booking fee $3.05 come on! Toll and surcharges plus time and distance charges. Now they are dropping me off a few blocks from my destination saying they got to take another call. Uber drivers that I have used have showed up at my house wanting a hookup. One driver started groping me on my front porch. Uber customer service is a brick wall. Credited me $3.00 on a ride on Uber Cash. No matter what they do or charge they have an excuse and they are right. When I reported the sexual harassment of the two drivers they suspended my account. They cost more than a taxi and a taxi never has told me to get out and walk the rest of the way.
0,"I don't believe there is any way to contact Uber anymore.
Even their emergency number is a recording telling you to dial 911 or review the help section in their AP.I put a very wonderful women in an Uber last night to drive her from Orange County to L.A. The driver (despite her wedding ring) put he moves on her the entire trip.
He kept harassing her for her phone number. But he didn't stop with just that. He kept touching her, rubbing his hand on her leg. She clung to her backpack praying she would get home safe.She is happily married with a child. She does not invite advancements from men in any way. She is a Pediatrician visiting L.A, to study advancements in child heart surgery so she can return to her county to help save children.She was able to send a message through the ""Uber Ap"" about the incident. She got an ""auto response"" stating that the incident will be looked into.I have searched for ""any way"" ""I"" could contact Uber (I have an account) I've tried everything. There is no way I can contact Uber.
So, Yisak - Honda Civic 8APD979 is still picking up rides. I ""hope"" the worst he does is ""groping"". Uber does not take safety seriously and I just pray no one gets hurt from this predatory driver."
0,"Drive with Uber you need to get better. I currently drive for Uber but am concerned with some drivers taking advantage of people with disabilities. I had picked up a Uber customer who had a 3 star rating, which to me I thought there was something wrong but still decided to accept the ride. When I picked up the gentleman I realized he was blind. As he got in my car we had a conversation and he told me that I was the quickest pick up he has ever gotten and asked me why. He told me he usually has to keep requesting Ubers over and over. I know why. It's because the drivers are declining a 3 star rider. I told him it was because I don't pass up any opportunities to pick people up to get them to their destination. He was the most kindest man I have ever met and I realized that other drivers have given him low ratings just because he had a disability."
0,"Uber quoted me a fare of £14. Their driver turned up late, took a very long route, got lost and then charged me nearly £35. I complained and they reduced it to £26. They will not refund the money to the £14 they quoted me.This is theft.DO NOT USE UBER THEY ARE THIEVES AND DISHONEST."
1,"Driver was fine and so was ride. Experience of dealing with getting a coupon for first ride had me looking for a human being to talk to, and was amazed to find there was no one. I think they charge enough to hire customer service of some kind. I couldn't even find a human online."
0,I called uber for going home two days ago and yesterday they charged me extra 40$ even no one told me reason. Then I contacted uber and they told me driver complained me about I was drunk or something else they sent me stupid pictures. I didn't understand exactly what happened but I just called uber and went home even I didn't talk to driver and went home. How come no one asked me anything and they just charged me 40$ directly. I will take my money back and I will delete uber.
1,"This is the email I tried to send back to uber after getting a welcome email saying how easy it was to get help (complete fabrication): the email was waiting after I got home a few days after the uber-disasterHi,Well, my attempted first trip was an absolute disaster!!1. The app did not get my current address right, and didn't want me to alter the house number. Even so, I actually wanted it to leave from a few doors down. When I finally got it to accept the new house number, it would not let me enter the suburb.2. After entering the destination, it said it would not give me a quote until AFTER I had entered credit card details. I thought this would be OK, since I'd seen estimated costs at a bit over $1 per km. But it wanted to charge me well over $900!!!!! (the trip should have been about $60, from similar trips by others). There was no obvious way to cancel, just confirm, so I closed the app thinking it would cancel .3. I re-entered the app to try the trip again. But even though I had NOT confirmed the previous attempt, it said I could not enter a trip as one was already booked for the same time.4, There was no obvious way to cancel the trip, not any way to ring or email uber to get it fixed.5. Did some searching, seems there is no way to handle emergency fixes. Utter shame on you. Many others have had similar experiences in being unable to contact anyone when something went wrong.6. Finally found a site explaining how to cancel future trips, hidden in a side menu, which I did, fortunately before the exorbitant charge was taken from my bank.Until I get over this really bad experience with your obvious complete disdain for users, and your really, really terrible app design, I will tell everybody I meet to stay away from uber, the uber-bad transport option. And intend never to use it again myself, unless something changes."
1,"uber app like to steal your money then claim they refunded you this why I prefer Lyft
uber app like to steal your money then claim they refunded you this why I prefer Lyft"
0,"Cherry picker???? Asks you where exactly you are going after he picks the order, asks if the lady is going alone, calculates if it is good money and company, then cancels the trip if it is not. You cant review him since the trip hasn't started, so he has pretty nice rate level. Happened to me, not sure how many people he has innocently questioned like that and cancelled the order."
1,Uber in the Southwestern corner of AZ has increased the prices by 11% and are keeping anywhere from 40 to 60% of the fare. Charging for a longer distance but send the driver the shortest. Lyft has con up by 6% and is still cheaper than uber.
1,"I ordered myself for a ride about 10 blocks away from my home to a restaurant knowing I would be consuming alcohol. They offered me a discounted ride to walk to the corner of my block for pickup. I agreed to that. Once I confirmed my ride, I was notified I would be dropped off about 4 blocks away from the restaurant. I never agreed to that. That part was not advertised. That area is unsafe being is next to a highway ramp with no crosswalks or traffic signals to get to my destination. So I immediately canceled the ride."
0,"Uber drivers in Honolulu, Hawaii are charging passengers extra and they have to pay them via Apple Pay or cash. Tried contacting Uber to talk about this issue. Asked for a supervisor and they gave me the runaround. I want to let people know what Uber drivers are doing. Don't know if it is just in Hawaii or other places. I had to choose one star but if it was up to me it would be -5."
1,Uber is a horrible  company  to work for.uber treats there drivers like pure trash.the customers  are always right nomatter what the uber driver says .uber is nothing but a pack of greedy wolves  who care about nothing or no one but themselves .uber has proven there fakeness .uber is a 0 0 in my opinions
1,A transportation app that has come to improve on thé day to day runing of activities all over accra or Ghana
0,I used to really like Uber and over the years only had 1 bad driver but this year I'm constantly having billing problems and having multiple extra charges above fare and tip to the point of overdrawing my bank account. Reaching customer service is a totally separate hell to go thru. I have to find an alternative because I see NO EFFORT on uber to resolve any of this.
1,"Uber one minute gave me a quote of $50 on a ride I needed. A kind family member helped me to pay for it by purchasing an Uber gift card for me. As soon as I loaded the gift card onto my account, I brought the same ride up in app--and now, not 10 minutes later, it showed $63! Just to see if this was due to surge pricing, I tried the same ride in Lyft. It was $50--the same price Uber had quoted me before I loaded the Uber gift card."
1,Worst customer service. In Uber initial fare shown only rs. 45 after ride completes it shown as rs. 90 double the charge. So I trying to customer service but all numbers not reachable. Very worst service.
1,"I completed a trip and didn't get a receipt. There's no support number and when I went to online help, it didn't understand my question, no matter how I worded it. So I guess I'm just screwed. Thanks, Uber!"
1,I have advised many people NOT to use it to save their time and money. They charged me for a service they have not offered twice and I lost about £10.00 (about £5.00 each time).I ordered a taxi and the taxi driver did not come and they still charged me. They did that again shortly afterwards.Never download this damned Uber App!! Their Refund Claim is a joke. It was very time consuming e-mailing them back and forth with a ZERO- result. They literally STOLE my money. What a shame that all this comes from a taxi company that lies about their customer service. Please listen to this golden piece of advice: NEVER use this taxi company!
1,"I was recently charged for an Uber Pass, which I did not want.  I use Uber a few times a month and it wouldn't pay to get the Pass.  When I saw the charge on my PayPal, I attempted to contact Uber, however they make it impossible to contact them.  No phone number....no email address.  Their website is horrible to navigate and doesn't even give an opportunity to speak to anyone.  I tried to dispute with PayPal and they said through Uber, they have determined that I did authorize the purchase.  Needles to say, I will be writing PayPal's review next."
0,"DONT USE UBER. USE CABIFY, EASY TAXI
GET OUT OF ARGENTINA - GO AWAY UBER - YOUR SERVICE IS NEVER NEEDED AGAIN. 
A few months ago I had a driver who was driving and talking on his cell. I had a year old baby and was stunned that he did that. I contacted Uber customer service..... they dont have customer service. I still had to pay the driver and they didnt FINE him a FEE!!! A month ago my husband, my 2 year old and I were trying to get the the hospital. My son was sick as a dog with a flu, it was raining cats and dogs so we ordered an Uber. The uber driver decided to pick us up 2 blocks away from our house. When my husband explained we had a kid sick, its raining so no please come to our location.... the driver was utterly belligerent, rude, nasty so we cancelled our trip. We got charged a cancellation fee. We have ordered drivers on a regular basis from our house to a train station and without fail almost ALL UBER DRIVERS cancel our rides so we end up waiting an extra 10 - 15 minutes for a replacement. My son has been late to school over and over again because of these Uber drivers. Uber will not give me a refund for the cancellation. I have had many friends use Uber and all have cancelled their accounts due to the lack of service, lack of morals, lack of respect."
